"DATETIME";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";"null"
"21.02.2026 22:00";"-12.2";"746.4";"762.3";"0.5";"86";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-14.1";"";"";"";"";"";"";
"21.02.2026 19:00";"-11.4";"745.9";"761.7";"0.4";"85";"Ветер, дующий с юго-востока";"2";"2";"4";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-7.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-13.5";"0.6";"12";"";"";"";"";
"21.02.2026 16:00";"-8.5";"745.5";"761.1";"0.5";"79";"Ветер, дующий с юга";"2";"3";"6";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-11.6";"";"";"";"";"";"";
"21.02.2026 13:00";"-8.0";"745.0";"760.5";"0.6";"74";"Ветер, дующий с юга";"3";"5";"6";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-11.9";"";"";"";"";"";"";
"21.02.2026 10:00";"-8.4";"744.4";"759.9";"1.2";"80";"Ветер, дующий с юго-юго-запада";"2";"5";"6";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-10.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-11.2";"";"";"";"";"";"";
"21.02.2026 07:00";"-9.3";"743.2";"758.8";"0.5";"84";"Ветер, дующий с юга";"3";"5";"6";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-9.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-11.5";"2.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"84.0";
"21.02.2026 04:00";"-7.7";"742.7";"758.2";"0.4";"84";"Ветер, дующий с юга";"3";"7";"10";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-9.9";"";"";"";"";"";"";
"21.02.2026 01:00";"-7.0";"742.3";"757.7";"-1.4";"88";"Ветер, дующий с юго-востока";"8";"10";"11";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-8.7";"";"";"";"";"";"";
"20.02.2026 22:00";"-6.8";"743.7";"759.1";"-1.9";"77";"Ветер, дующий с востоко-юго-востока";"8";"11";"13";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-10.2";"";"";"";"";"";"";
"20.02.2026 19:00";"-6.7";"745.6";"761.2";"-2.4";"77";"Ветер, дующий с востоко-юго-востока";"9";"13";"14";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-6.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-10.1";"0.4";"12";"";"";"";"";
"20.02.2026 16:00";"-6.9";"748.0";"763.6";"-2.1";"84";"Ветер, дующий с востоко-юго-востока";"8";"11";"13";"100%.";"Снег с перерывами умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-9.2";"";"";"";"";"";"";
"20.02.2026 13:00";"-8.6";"750.1";"765.9";"-2.4";"60";"Ветер, дующий с востока";"10";"12";"13";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-15.0";"";"";"";"";"";"";
"20.02.2026 10:00";"-14.2";"752.5";"768.6";"-1.2";"71";"Ветер, дующий с востока";"4";"6";"8";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-18.4";"";"";"";"";"";"";
"20.02.2026 07:00";"-17.2";"753.7";"770.0";"-1.3";"80";"Ветер, дующий с востока";"4";"";"8";"20–30%.";" ";"";"";"-19.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-19.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"85.0";
"20.02.2026 04:00";"-16.0";"755.0";"771.3";"-2.0";"82";"Ветер, дующий с востока";"5";"7";"8";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-18.4";"";"";"";"";"";"";
"20.02.2026 01:00";"-18.3";"757.0";"773.5";"-0.5";"80";"Ветер, дующий с востока";"2";"3";"4";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-20.9";"";"";"";"";"";"";
"19.02.2026 22:00";"-17.4";"757.5";"773.9";"-0.2";"82";"Ветер, дующий с востока";"4";"4";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-19.8";"";"";"";"";"";"";
"19.02.2026 19:00";"-15.5";"757.7";"774.0";"0.1";"86";"Ветер, дующий с востока";"2";"2";"3";"40%.";" ";"";"";"";"-11.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-17.4";"Осадков нет";"12";"";"";"";"";
"19.02.2026 16:00";"-12.0";"757.6";"773.8";"0.2";"75";"Ветер, дующий с востоко-юго-востока";"1";"1";"3";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-15.5";"";"";"";"";"";"";
"19.02.2026 13:00";"-11.9";"757.4";"773.5";"0.7";"70";"Ветер, дующий с юго-востока";"1";"1";"1";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-16.3";"";"";"";"";"";"";
"19.02.2026 10:00";"-19.1";"756.7";"773.2";"1.0";"79";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-22.2";"";"";"";"";"";"";"10.0";"-21.8";"";"";"";"";"";"";
"19.02.2026 07:00";"-21.4";"755.7";"772.3";"0.9";"80";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"-22.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-24.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"85.0";
"19.02.2026 04:00";"-18.1";"754.8";"771.2";"0.8";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-20.3";"";"";"";"";"";"";
"19.02.2026 01:00";"-16.5";"754.0";"770.3";"1.0";"85";"Ветер, дующий с западо-юго-запада";"1";"3";"4";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-18.5";"";"";"";"";"";"";
"18.02.2026 22:00";"-15.1";"753.0";"769.2";"0.7";"86";"Ветер, дующий с западо-юго-запада";"1";"3";"3";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-17.0";"";"";"";"";"";"";
"18.02.2026 19:00";"-13.1";"752.3";"768.4";"1.1";"80";"Ветер, дующий с юго-запада";"1";"2";"3";"Облаков нет.";" ";"";"";"";"-8.8";"";"";"";"";"";"10.0";"-15.8";"Осадков нет";"12";"";"";"";"";
"18.02.2026 16:00";"-9.3";"751.2";"766.9";"0.7";"66";"Ветер, дующий с западо-северо-запада";"1";"3";"4";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-14.6";"";"";"";"";"";"";
"18.02.2026 13:00";"-11.6";"750.5";"766.4";"1.4";"67";"Ветер, дующий с западо-северо-запада";"1";"3";"4";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-16.5";"";"";"";"";"";"";
"18.02.2026 10:00";"-15.4";"749.1";"765.2";"2.3";"76";"Ветер, дующий с северо-запада";"2";"4";"8";"Облаков нет.";" ";"";"";"-17.2";"";"";"";"";"";"";"10.0";"-18.7";"";"";"";"";"";"";
"18.02.2026 07:00";"-16.5";"746.8";"762.9";"2.6";"82";"Ветер, дующий с западо-северо-запада";"3";"4";"8";"40%.";" ";"";"";"-16.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-18.9";"0.6";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"85.0";
"18.02.2026 04:00";"-14.8";"744.2";"760.2";"2.8";"81";"Ветер, дующий с западо-северо-запада";"3";"6";"8";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"10.0";"-17.4";"";"";"";"";"";"";
"18.02.2026 01:00";"-12.1";"741.4";"757.2";"3.4";"76";"Ветер, дующий с западо-северо-запада";"3";"5";"8";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"10.0";"-15.5";"";"";"";"";"";"";
"17.02.2026 22:00";"-9.6";"738.0";"753.5";"3.2";"86";"Ветер, дующий с северо-запада";"3";"5";"7";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-11.5";"";"";"";"";"";"";
"17.02.2026 19:00";"-9.0";"734.8";"750.2";"3.8";"77";"Ветер, дующий с северо-запада";"4";"7";"8";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Метель";"";"0.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-12.3";"2.0";"12";"";"";"";"";
"17.02.2026 16:00";"-4.5";"731.0";"746.1";"3.3";"79";"Ветер, дующий с запада";"4";"7";"9";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-7.6";"";"";"";"";"";"";
"17.02.2026 13:00";"-0.3";"727.7";"742.1";"1.0";"90";"Ветер, дующий с запада";"3";"9";"9";"100%.";"Снег с перерывами сильный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-1.7";"";"";"";"";"";"";
"17.02.2026 10:00";"0.7";"726.7";"741.4";"-0.3";"94";"Ветер, дующий с юго-юго-запада";"4";"8";"9";"100%.";"Снег с перерывами умеренный в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-0.2";"";"";"";"";"";"";
"17.02.2026 07:00";"-0.1";"727.0";"741.8";"-2.1";"94";"Ветер, дующий с юга";"4";"7";"7";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-9.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-1.0";"7.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"84.0";
"17.02.2026 04:00";"-4.9";"729.1";"744.2";"-3.4";"90";"Ветер, дующий с востока";"6";"7";"10";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-6.3";"";"";"";"";"";"";
"17.02.2026 01:00";"-8.2";"732.5";"747.8";"-4.9";"88";"Ветер, дующий с востока";"6";"8";"10";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"2.0";"-9.8";"";"";"";"";"";"";
"16.02.2026 22:00";"-8.9";"737.4";"752.9";"-3.6";"86";"Ветер, дующий с востока";"5";"7";"8";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-10.9";"";"";"";"";"";"";
"16.02.2026 19:00";"-8.7";"741.0";"756.6";"-0.8";"77";"Ветер, дующий с востока";"1";"2";"3";"100%.";" ";"";"";"";"-3.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-12.1";"Следы осадков";"12";"";"";"";"";
"16.02.2026 16:00";"-7.8";"741.8";"757.3";"-0.2";"73";"Ветер, дующий с северо-северо-запада";"1";"2";"6";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-11.8";"";"";"";"";"";"";
"16.02.2026 13:00";"-7.1";"742.0";"757.5";"1.2";"75";"Ветер, дующий с западо-северо-запада";"3";"5";"6";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-10.9";"";"";"";"";"";"";
"16.02.2026 10:00";"-6.0";"740.8";"756.3";"1.6";"83";"Ветер, дующий с западо-северо-запада";"3";"5";"8";"100%.";" ";"";"";"-6.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-8.4";"";"";"";"";"";"";
"16.02.2026 07:00";"-3.7";"739.2";"754.3";"0.8";"90";"Ветер, дующий с запада";"2";"5";"5";"100%.";" ";"";"";"-4.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.1";"0.8";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"81.0";
"16.02.2026 04:00";"-3.8";"738.4";"753.5";"1.6";"81";"Ветер, дующий с запада";"1";"4";"9";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-6.6";"";"";"";"";"";"";
"16.02.2026 01:00";"-4.4";"736.8";"751.9";"0.8";"87";"Ветер, дующий с западо-юго-запада";"1";"4";"6";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-6.2";"";"";"";"";"";"";
"15.02.2026 22:00";"-4.5";"736.0";"751.1";"-0.2";"87";"Ветер, дующий с юго-запада";"2";"4";"5";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-6.3";"";"";"";"";"";"";
"15.02.2026 19:00";"-4.6";"736.2";"751.3";"-0.7";"87";"Ветер, дующий с юга";"2";"4";"10";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-4.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-6.4";"0.6";"12";"";"";"";"";
"15.02.2026 16:00";"-4.8";"736.9";"752.1";"-1.6";"85";"Ветер, дующий с юго-юго-востока";"6";"";"10";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-7.0";"";"";"";"";"";"";
"15.02.2026 13:00";"-5.4";"738.5";"753.8";"-1.8";"83";"Ветер, дующий с юго-юго-востока";"8";"10";"10";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-7.9";"";"";"";"";"";"";
"15.02.2026 10:00";"-6.1";"740.3";"755.8";"-0.5";"83";"Ветер, дующий с юго-юго-востока";"6";"";"9";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-6.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-8.5";"";"";"";"";"";"";
"15.02.2026 07:00";"-6.6";"740.8";"756.3";"-1.2";"81";"Ветер, дующий с юго-юго-востока";"8";"9";"10";"100%.";" ";"";"";"-6.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-9.4";"Следы осадков";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"81.0";
"15.02.2026 04:00";"-5.3";"742.0";"757.4";"-0.5";"75";"Ветер, дующий с юга";"4";"6";"";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-9.1";"";"";"";"";"";"";
"15.02.2026 01:00";"-4.1";"742.5";"757.8";"-0.9";"69";"Ветер, дующий с юга";"6";"8";"";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-9.0";"";"";"";"";"";"";
"14.02.2026 22:00";"-3.1";"743.4";"758.6";"-0.2";"79";"Ветер, дующий с юга";"4";"7";"10";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-6.3";"";"";"";"";"";"";
"14.02.2026 19:00";"-2.5";"743.6";"758.8";"-0.1";"87";"Ветер, дующий с юга";"5";"8";"10";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-2.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-4.4";"0.5";"12";"";"";"";"";
"14.02.2026 16:00";"-3.1";"743.7";"758.9";"-0.4";"86";"Ветер, дующий с юга";"5";"8";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-5.1";"";"";"";"";"";"";
"14.02.2026 13:00";"-4.6";"744.1";"759.4";"0.0";"84";"Ветер, дующий с юга";"4";"6";"8";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-7.0";"";"";"";"";"";"";
"14.02.2026 10:00";"-4.7";"744.1";"759.4";"1.1";"84";"Ветер, дующий с юго-юго-запада";"4";"7";"9";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-4.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-7.0";"";"";"";"";"";"";
"14.02.2026 07:00";"-3.8";"743.0";"758.2";"0.8";"84";"Ветер, дующий с юго-запада";"2";"5";"9";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-4.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-6.2";"3.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"83.0";
"14.02.2026 04:00";"-3.2";"742.2";"757.4";"0.9";"81";"Ветер, дующий с юго-запада";"3";"6";"9";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-6.1";"";"";"";"";"";"";
"14.02.2026 01:00";"-3.3";"741.3";"756.5";"0.6";"88";"Ветер, дующий с юго-юго-запада";"3";"6";"8";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-5.0";"";"";"";"";"";"";
"13.02.2026 22:00";"-4.1";"740.7";"756.0";"0.4";"89";"Ветер, дующий с юго-юго-запада";"3";"7";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-5.6";"";"";"";"";"";"";
